,year,state,month,number,date
0,1998,Acre,Janeiro,0,1998-01-01
1,1999,Acre,Janeiro,0,1999-01-01
2,2000,Acre,Janeiro,0,2000-01-01
3,2001,Acre,Janeiro,0,2001-01-01
4,2002,Acre,Janeiro,0,2002-01-01
5,2003,Acre,Janeiro,10,2003-01-01
6,2004,Acre,Janeiro,0,2004-01-01
7,2005,Acre,Janeiro,12,2005-01-01
8,2006,Acre,Janeiro,4,2006-01-01
9,2007,Acre,Janeiro,0,2007-01-01
10,2008,Acre,Janeiro,0,2008-01-01
11,2009,Acre,Janeiro,0,2009-01-01
12,2010,Acre,Janeiro,1,2010-01-01
13,2011,Acre,Janeiro,0,2011-01-01
14,2012,Acre,Janeiro,0,2012-01-01
15,2013,Acre,Janeiro,0,2013-01-01
16,2014,Acre,Janeiro,0,2014-01-01
17,2015,Acre,Janeiro,1,2015-01-01
18,2016,Acre,Janeiro,12,2016-01-01
19,2017,Acre,Janeiro,0,2017-01-01
20,1998,Acre,Fevereiro,0,1998-01-01
21,1999,Acre,Fevereiro,0,1999-01-01
22,2000,Acre,Fevereiro,0,2000-01-01
23,2001,Acre,Fevereiro,0,2001-01-01
24,2002,Acre,Fevereiro,1,2002-01-01
25,2003,Acre,Fevereiro,0,2003-01-01
26,2004,Acre,Fevereiro,3,2004-01-01
27,2005,Acre,Fevereiro,0,2005-01-01
28,2006,Acre,Fevereiro,0,2006-01-01
29,2007,Acre,Fevereiro,5,2007-01-01
30,2008,Acre,Fevereiro,0,2008-01-01
31,2009,Acre,Fevereiro,2,2009-01-01
32,2010,Acre,Fevereiro,0,2010-01-01
33,2011,Acre,Fevereiro,0,2011-01-01
34,2012,Acre,Fevereiro,0,2012-01-01
35,2013,Acre,Fevereiro,0,2013-01-01
36,2014,Acre,Fevereiro,0,2014-01-01
37,2015,Acre,Fevereiro,2,2015-01-01
38,2016,Acre,Fevereiro,5,2016-01-01
39,2017,Acre,Fevereiro,1,2017-01-01
40,1998,Acre,Março,0,1998-01-01
41,1999,Acre,Março,0,1999-01-01
42,2000,Acre,Março,11,2000-01-01
43,2001,Acre,Março,0,2001-01-01
44,2002,Acre,Março,0,2002-01-01
45,2003,Acre,Março,0,2003-01-01
46,2004,Acre,Março,0,2004-01-01
47,2005,Acre,Março,3,2005-01-01
48,2006,Acre,Março,0,2006-01-01
49,2007,Acre,Março,2,2007-01-01
50,2008,Acre,Março,0,2008-01-01
51,2009,Acre,Março,1,2009-01-01
52,2010,Acre,Março,0,2010-01-01
53,2011,Acre,Março,0,2011-01-01
54,2012,Acre,Março,1,2012-01-01
55,2013,Acre,Março,2,2013-01-01
56,2014,Acre,Março,1,2014-01-01
57,2015,Acre,Março,2,2015-01-01
58,2016,Acre,Março,0,2016-01-01
59,2017,Acre,Março,0,2017-01-01
60,1998,Acre,Abril,0,1998-01-01
61,1999,Acre,Abril,0,1999-01-01
62,2000,Acre,Abril,1,2000-01-01
